Identifier,Woreda,Kebele,School Name,Lat,Lot,Latitude,Longitude,School Type,Male Pupils,Female Pupils,Water Service Level,Main Source of Drinking Water Provided by the School,Main Water Source is Currently Available at the School,Sanitation Service Level,Type of Student Toilets at the School,Number of Student Toilets Currently Usable,Toilets are Separate for Girls and Boys,Hygiene Service Level,Handwashing Facilities are at the School,Soap and water available at the handwashing facilities
trjg-nb8x-ya0s,Shashemene,A/Ilu,Ilu,455755,799520,41.69764007,4.118702867,Primary(1-8),401,356,,,,,,,,,,
14vf-06tm-p5yk,Shashemene,J/Wandere,Wandere,467432,799522,41.69801831,4.224224807,Primary(1-8),439,377,,,,,,,,,,
du45-b0gw-pg0d,Shashemene,Idola,k/Gara,460269,788808,41.60136353,4.159819698,Primary(1-8),340,286,,,,,,,,,,
nbw5-g4mt-x1be,Shashemene,Idola,I/Burqa,459125,792759,41.63689153,4.149362666,Primary(1-4),210,165,,,,,,,,,,
4ht0-1rs4-tnrn,Shashemene,A/Denku,Awasho,459308,795507,41.66163048,4.150933294,Primary(1-8),394,342,,,,,,,,,,
7dbf-ws1e-ycyf,Shashemene,Sole,Sole,461631,792980,41.63895609,4.172003175,Primary(1-8),937,764,,,,,,,,,,
6d1w-nmg0-2gfh,Shashemene,A/Denku,Agemsa,458731,793735,41.64566424,4.145772594,Primary(1-8),423,457,,,,,,,,,,
ya1x-k255-ayk0,Shashemene,Sole,F/Meti,465992,790066,41.61285829,4.211502971,Primary(1-8),247,272,,,,,,,,,,
dcpr-h083-curh,Shashemene,Jigesa,N/Jigesa,463256,796448,41.67022034,4.186582494,Primary(1-8),532,408,,,,,,,,,,
h6vp-e2gm-ushr,Shashemene,Meraro,Meraro,468513,789735,41.60995496,4.234296211,Primary(1-8),540,512,,,,,,,,,,
qdt8-8ce6-qs80,Shashemene,H/Simboo,Hursa,468215,788956,41.60293356,4.231626723,Primary(1-8),601,559,,,,,,,,,,
r5m4-s809-va0w,Shashemene,T/W/Elemo,T/W/Elemo,465784,799095,41.69412355,4.209345618,Primary(1-8),250,209,,,,,,,,,,
6dcm-6t7a-edj3,Shashemene,Meraro,Hemulo,470857,790621,41.61800192,4.255452677,Primary(1-8),289,266,,,,,,,,,,
6djr-tu6t-cdkr,Shashemene,J/Wandere,J/Goba,461712,804205,41.73998891,4.172388475,Primary(1-8),570,583,,,,,,,,,,
